usi_id;ano_apur;mes_apur;val_teifames;val_teipmes;val_teifaacum;val_teipacum;val_teifacum;val_teifmes;flg_usibtx;val_teifamesajus;val_teipmesajus;val_teifaacumajus;val_teipacumajus;val_teifamesfc;val_teipmesfc;val_teifaacumfc;val_teipacumfc;val_teipacumfc;flg_parcleilao;val_numteifames;val_denteifames;val_numteipmes;val_denteipmes;val_numteifamesfc;val_denteifamesfc;val_numteipmesfc;val_denteipmesfc
ALUXG;2007;11;0,000961962;0,000227624;0,001262533;0,0170899;0,001548869;0,000961962;N;;;;;;;;;;;;;;;;;;
ALUXG;2007;12;0;0,003920251;0,001262533;0,017101791;0,001548869;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2008;1;0,000735514;0,01710996;0,001274791;0,01738696;0,001580493;0,001897442;N;;;;;;;;;;;;;;;;;;
ALUXG;2008;2;0,0029844;0,0322318;0,001324531;0,01789391;0,004054086;0,148415595;N;;;;;;;;;;;;;;;;;;
ALUXG;2008;3;0,172300607;0,05811305;0,004196208;0,018820951;0,007245938;0,191511095;N;;;;;;;;;;;;;;;;;;
ALUXG;2008;4;0,402023494;0,003757716;0,0108966;0,01879967;0,01394633;0,402023494;N;;;;;;;;;;;;;;;;;;
ALUXG;2008;5;0,269148201;0,002340008;0,0153824;0,01871217;0,018432129;0,269148201;N;;;;;;;;;;;;;;;;;;
ALUXG;2008;6;0,167207301;0,048314039;0,017886659;0,019482359;0,0207437;0,167301998;N;;;;;;;;;;;;;;;;;;
ALUXG;2008;7;0,166666701;0,032881569;0,020664429;0,019970341;0,023521479;0,166666701;N;;;;;;;;;;;;;;;;;;
ALUXG;2008;8;0,077990592;0,018441269;0,02196138;0,018876139;0,02481843;0,077990592;N;;;;;;;;;;;;;;;;;;
ALUXG;2008;9;0,000105962;0,01566051;0,021963149;0,016986821;0,024820261;0,000109984;N;;;;;;;;;;;;;;;;;;
ALUXG;2008;10;0;0;0,021963149;0,016922901;0,024820261;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2008;11;0,0004013;2,70E-05;0,02196984;0,015748199;0,024827121;0,000411083;N;;;;;;;;;;;;;;;;;;
ALUXG;2008;12;0;0,001874253;0,02196249;0,015630961;0,024810379;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2009;1;0;0,002143071;0,021761751;0,015635381;0,024540281;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2009;2;0;0;0,021761751;0,015635381;0,024540281;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2009;3;0;0,120176204;0,021761751;0,016143961;0,024540281;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2009;4;0;0,00730324;0,021761751;0,01611542;0,024540281;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2009;5;7,47E-05;0,001956392;0,02176299;0,01609765;0,024541531;7,47E-05;N;;;;;;;;;;;;;;;;;;
ALUXG;2009;6;0,00292418;0,000428241;0,021811729;0,015901219;0,02459232;0,0030476;N;;;;;;;;;;;;;;;;;;
ALUXG;2009;7;0;0,002355884;0,021811729;0,01425004;0,02459232;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2009;8;0,000233661;0,00911365;0,02164459;0,01439783;0,024419431;0,000263234;N;;;;;;;;;;;;;;;;;;
ALUXG;2009;9;0;0;0,021617521;0,01405723;0,02439227;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2009;10;0;0;0,02159532;0,01386626;0,024369961;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2009;11;0;0,01457562;0,02159532;0,01407858;0,024369961;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2009;12;0;0,006152927;0,02159532;0,01404094;0,024369961;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2010;1;0;0;0,02159532;0,01397953;0,024369961;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2010;2;0;0,002248677;0,02159532;0,01302342;0,024369961;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2010;3;0;0,087712817;0,02159532;0,01378557;0,024369961;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2010;4;0;0,000621142;0,02159532;0,01342215;0,024369961;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2010;5;0,000309886;0;0,021600479;0,01186079;0,02437651;0,000392491;N;;;;;;;;;;;;;;;;;;
ALUXG;2010;6;0;0,01177855;0,021600479;0,01203826;0,02437651;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2010;7;0,002381006;0,005167264;0,02164017;0,01210527;0,02443702;0,003630545;N;;;;;;;;;;;;;;;;;;
ALUXG;2010;8;0,000780317;0,009214456;0,02165317;0,01223234;0,024450131;0,000786945;N;;;;;;;;;;;;;;;;;;
ALUXG;2010;9;0,000844907;0,01339506;0,02166725;0,0123974;0,02446455;0,00086538;N;;;;;;;;;;;;;;;;;;
ALUXG;2010;10;0;0,003089747;0,02160975;0,01232748;0,024406981;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2010;11;0;0,008159722;0,02160975;0,01246347;0,024406981;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2010;12;0;0,003498357;0,021475939;0,01239365;0,02427181;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2011;1;0,000232869;0,002710573;0,02126172;0,012369881;0,024053359;0,000261643;N;;;;;;;;;;;;;;;;;;
ALUXG;2011;2;0;0;0,02126172;0,012356171;0,024053359;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2011;3;0;0,001792115;0,02126172;0,01235661;0,024053359;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2011;4;0,034818672;0;0,021842031;0,01186773;0,024684681;0,037879221;N;;;;;;;;;;;;;;;;;;
ALUXG;2011;5;0,144640699;0,110793799;0,024252711;0,01346968;0,027435759;0,165064901;N;;;;;;;;;;;;;;;;;;
ALUXG;2011;6;0,166666701;0,001006944;0,027030479;0,01337536;0,03021354;0,166666701;N;;;;;;;;;;;;;;;;;;
ALUXG;2011;7;0,166666701;0,040632471;0,02978792;0,01405257;0,03297092;0,166666701;N;;;;;;;;;;;;;;;;;;
ALUXG;2011;8;0,163974807;0,068682797;0,032520831;0,01519728;0,03570487;0,164037406;N;;;;;;;;;;;;;;;;;;
ALUXG;2011;9;0;0,006396605;0,032520831;0,01526518;0,03570487;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2011;10;0,001769713;0,001142473;0,03255032;0,01517389;0,03573437;0,001770348;N;;;;;;;;;;;;;;;;;;
ALUXG;2011;11;0;0,000659722;0,03255032;0,01518489;0,03573437;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2011;12;0;0,003192204;0,03255032;0,01520194;0,03573437;0;N;;;;;;;;;;;;;;;;;;
ALUXG;2012;1;0,000562772;0,001187276;0,0325597;0,01514021;0,03574428;0,000594304;N;;;;;;;;;;;;;;;;;;
